iter	Passed	Remaining
1579	175767	157968
1580	175898	157874
1581	176033	157785
1582	176132	157662
1583	176238	157546
1584	176381	157463
1585	176516	157373
1586	176614	157250
1587	176729	157142
1588	176822	157014
1589	176948	156916
1590	177053	156799
1591	177166	156690
1592	177280	156581
1593	177420	156494
1594	177570	156417
1595	177679	156304
1596	177750	156158
1597	177877	156060
1598	178004	155963
1599	178131	155865
1600	178247	155757
1601	178378	155663
1602	178518	155577
1603	178644	155478
1604	178787	155394
1605	178883	155270
1606	178990	155154
1607	179132	155069
1608	179238	154953
1609	179360	154851
1610	179486	154752
1611	179613	154654
1612	179738	154555
1613	179869	154460
1614	179977	154345
1615	180094	154238
1616	180229	154148
1617	180335	154031
1618	180466	153937
1619	180613	153855
1620	180718	153738
1621	180844	153639
1622	180987	153554
1623	181063	153413
1624	181182	153308
1625	181308	153208
1626	181439	153113
1627	181548	153000
1628	181690	152914
1629	181810	152810
1630	181933	152707
1631	182071	152618
1632	182197	152519
1633	182337	152431
1634	182459	152328
1635	182572	152218
1636	182699	152119
1637	182825	152019
1638	182938	151908
1639	183055	151801
1640	183155	151680
1641	183273	151574
1642	183348	151432
1643	183466	151326
1644	183594	151228
1645	183708	151118
1646	183813	151001
1647	183933	150896
1648	184046	150786
1649	184154	150671
1650	184259	150554
1651	184363	150436
1652	184481	150330
1653	184603	150227
1654	184725	150124
1655	184850	150023
1656	184993	149937
1657	185121	149839
1658	185201	149701
